Employee_ID,Age,Career_Stage,Skills,Training_Participation,Certifications,Performance_Metrics,Skill_Gaps
1,42,Mid-Career,Leadership,191,0,0.275459309,Cybersecurity
2,45,Senior,Leadership,79,0,0.22966464,Leadership
3,42,Senior,Cybersecurity,382,4,0.381886817,5G
4,42,Mid-Career,AI/ML,152,0,0.421049254,Cybersecurity
5,42,Mid-Career,Cybersecurity,560,4,0.760314949,AI/ML
6,42,Entry-Level,Leadership,534,3,0.499943736,AI/ML
7,42,Entry-Level,Leadership,410,0,0.213987756,AI/ML
8,42,Entry-Level,Cybersecurity,460,1,0.879650526,AI/ML
9,39,Senior,Cybersecurity,332,0,0.763734553,Cybersecurity
10,20,Entry-Level,AI/ML,291,1,0.426311889,Cybersecurity
11,54,Mid-Career,5G,559,2,0.250751992,Cybersecurity
12,18,Senior,AI/ML,559,3,0.675867532,AI/ML
13,59,Entry-Level,Leadership,366,2,0.34634908,5G
14,20,Mid-Career,5G,2,4,0.077146389,AI/ML
15,19,Senior,Cybersecurity,182,0,0.622858914,Cybersecurity
16,23,Mid-Career,5G,168,3,0.564970806,5G
17,33,Entry-Level,Cybersecurity,446,0,0.079908613,5G
18,43,Senior,Leadership,72,1,0.380872718,Leadership
19,25,Mid-Career,AI/ML,413,2,0.622397335,AI/ML
20,28,Senior,Leadership,556,0,0.359524437,Cybersecurity
21,54,Senior,Leadership,273,1,0.785534899,AI/ML
22,21,Senior,Cybersecurity,533,3,0.239487331,5G
23,26,Senior,Leadership,223,0,0.937218166,Cybersecurity
24,42,Mid-Career,Leadership,462,3,0.877169751,Cybersecurity
25,34,Entry-Level,5G,174,3,0.324443256,AI/ML
26,54,Entry-Level,Cybersecurity,271,2,0.441342267,AI/ML
27,44,Mid-Career,Cybersecurity,289,2,0.824527964,Cybersecurity
28,21,Entry-Level,AI/ML,209,2,0.33014686,5G
29,39,Entry-Level,AI/ML,127,4,0.496953346,5G
30,26,Entry-Level,Cybersecurity,366,4,0.781355526,Cybersecurity
31,34,Senior,AI/ML,546,4,0.055312038,5G
32,48,Mid-Career,5G,229,1,0.227319448,5G
33,40,Entry-Level,5G,522,3,0.671815144,Leadership
